nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
PLANA GARNIER;181;15;oui;2008;RUE LOUIS PLANA;PLANA (RUE LOUIS PLANA);27;3105555396;Toulouse;31555;1577296.0851;2268792.8488;1.47995638245109;43.6092533843674
CHAUBET;182;20;oui;2008;AV JEAN CHAUBET;CHAUBET (AV JEAN CHAUBET);158;3105554540;Toulouse;31555;1577434.1265;2268424.564;1.48174849521764;43.6059615375278
MICHOUN LIPPMAN;184;18;oui;2008;CHE MICHOUN;MICHOUN (CHE MICHOUN);70;3105555932;Toulouse;31555;1576471.945;2270806.6788;1.46929476648627;43.6272417141926
ROUBICHOU ARLES;185;15;oui;2008;RUE ROUBICHOU;ROUBICHOU (RUE ROUBICHOU);30;3105557648;Toulouse;31555;1576174.1545;2270806.9592;1.46560543398029;43.6271953439374
BARRIERE DE BAYONNE;138;20;oui;2008;BRE DE BAYONNE;BAYONNE (BRE DE BAYONNE);2;3105550924;Toulouse;31555;1572446.6902;2267631.3226;1.4201670248656;43.5979952377904
DESBALS BACHAGA BOUALAM;186;18;oui;2008;IMP DU BACHAGA BOUALAM;BOUALAM (IMP DU BACHAGA BOUALAM);1;3105550793;Toulouse;31555;1571658.7611;2265562.8406;1.41089487522502;43.5792466903622
DESBALS MONT DORE;187;15;oui;2008;RUE HENRI DESBALS;DESBALS (RUE HENRI DESBALS);187;3105554140;Toulouse;31555;1572058.5087;2266147.5304;1.41570681317561;43.5845764258644
MURET LAFAGE;188;18;oui;2008;AV DE MURET;MURET (AV DE MURET);121;3105556160;Toulouse;31555;1573014.8732;2266098.0928;1.42755810865503;43.5842932430717
MURET BOUTINON;189;20;oui;2008;AV DE MURET;MURET (AV DE MURET);44;3105556160;Toulouse;31555;1572839.75;2265794.2378;1.42546059831496;43.581529240876
OUSTALOUS;190;20;oui;2008;RTE D ESPAGNE;ESPAGNE (RTE D ESPAGNE);39;3105553064;Toulouse;31555;1572712.4242;2265326.9986;1.42399290177347;43.5773029258501
ST SIMON QUATORZE JUILLET;191;20;oui;2008;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON);395;3105557988;Toulouse;31555;1572029.1591;2266752.7682;1.41520209844015;43.5900181346146
ST SIMON PRADO;192;18;oui;2008;RTE DE SAINT SIMON;SIMON (RTE DE SAINT SIMON);355;3105557988;Toulouse;31555;1571568.5619;2266512.45;1.40955573437537;43.5877771089998
LOMBEZ PETITE VITESSE;193;20;oui;2008;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);59;3105555308;Toulouse;31555;1572029.7366;2267293.953;1.41508282242247;43.5948884850853
GOUJON PUJOL;196;20;oui;2008;RUE JEAN GOUJON;GOUJON (RUE JEAN GOUJON);10;3105554584;Toulouse;31555;1575510.0295;2268001.1564;1.45801583559386;43.6018357449214
LAROUSSE RIEUX;195;20;oui;2008;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);4;3105554652;Toulouse;31555;1575577.1413;2267498.4748;1.45896112630866;43.5973230436429
CASERNE PERIGNON;197;20;oui;2008;AV LOUIS BLERIOT;BLERIOT (AV LOUIS BLERIOT);6;3105555360;Toulouse;31555;1575993.9304;2267821.7724;1.46404891285115;43.6003011978219
DELTOUR RIEUX;199;20;oui;2008;BD DELTOUR;DELTOUR (BD DELTOUR);4;3105552580;Toulouse;31555;1576457.8953;2266834.1472;1.47001711408819;43.5914894287774
PLACE DE L ORMEAU;200;20;oui;2008;AV JEAN RIEUX;RIEUX (AV JEAN RIEUX);345;3105554652;Toulouse;31555;1577531.9403;2265431.0402;1.48362912378026;43.5790375966545
POTEZ SAINT EXUPERY;201;20;oui;2008;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);256;3105557772;Toulouse;31555;1577307.4713;2265514.1336;1.48083180350815;43.5797488883169
SAINT EXUPERIY ECOLE COURREGE;202;17;oui;2008;AV ANTOINE DE ST EXUPERY;EXUPERY (AV ANTOINE DE ST EXUPERY);165;3105557772;Toulouse;31555;1576909.3428;2265735.2502;1.47585362474565;43.581673901362
PETIT PRINCE SAINT EXUPERY;203;20;oui;2008;AV DU PETIT PRINCE;PRINCE (AV DU PETIT PRINCE);2;3105556790;Toulouse;31555;1576445.3422;2265951.413;1.47006075484635;43.5835433232293
COTTAGES RIEUX;205;17;oui;2008;AV DES COTTAGES;COTTAGES (AV DES COTTAGES);58;3105552340;Toulouse;31555;1576849.4305;2266203.5494;1.47500668599737;43.5858785218211
PL ROGER ARNAUD;204;18;oui;2008;PL ROGER ARNAUD;ARNAUD (PL ROGER ARNAUD);1;3105557568;Toulouse;31555;1575896.8173;2266329.7522;1.46318435934578;43.5868580251217
