ID;LOCALISATION;TYPE;X_CC43;Y_CC43;X_WGS84;Y_WGS84
17;CIMETIERE ST SIMON RUE DU (n°18) - BOULODROME;BAYARD;1569259.7869;2263125.8101;1.38177953166918;43.5569030041507
19;PRADETTES PLACE DES - Devant Commerces (face n°12);BAYARD;1569796.3488;2265855.1087;1.38777089980075;43.5815575024224
21;SAND RUE GEORGES - N°20;BAYARD;1575093.5218;2266015.842;1.45331065470313;43.5839003521188
22;ESP ALAIN SAVARY (FACE n°22 ALL FREDERIC MISTRAL);BAYARD;1575050.1925;2267189.2618;1.45250661520383;43.5944531586752
24;FONDEVILLE RUE (n°41) - FACE EGLISE;BAYARD;1575047.5493;2262072.1981;1.45364029011541;43.548402303623
25;ROLLIN RUE LEDRU (face n°21) - AV PRESSENSE;BAYARD;1571786.6154;2268487.7065;1.41179299894646;43.6055900018166
27;CHAUSSEE RUE DE LA - après pile du pont sud;BAYARD;1574169.8466;2266930.8869;1.44166544474084;43.5919815003193
28;PARC DE LA VACHE;BAYARD;1573794.9161;2271656.239;1.43593381267525;43.6344432786972
29;AIRE DE SPORT ERNEST RENAN;BAYARD;1574321.2979;2271808.7361;1.4424207558864;43.6359036425083
31;IMPASSE DU CIMETIERE DE CROIX DAURADE (entrée principale du cimetière);BAYARD;1576041.48;2272160.2579;1.46365511414163;43.6393521346306
32;JARDIN BOIS DAURADE (rue du Général Giraud);BAYARD;1575898.9348;2272470.283;1.46181845373216;43.6421186295773
33;ESPACE DU RAMELET;BAYARD;1575904.3969;2271847.248;1.46202749625841;43.6365127248835
34;PASSAGE CAZALS-LAPUJADE;BAYARD;1576188.8321;2271293.4843;1.46567717549683;43.6315761036777
35;JARDIN DU TOIT DU ROULANT;BAYARD;1576448.0813;2270608.5119;1.46904386854433;43.6254544493238
36;JARDIN MICHOUN;BAYARD;1576391.0348;2270684.541;1.46831997615551;43.6261292945381
37;JARDIN DE LA ROSERAIE;BAYARD;1576450.518;2270016.216;1.4692077745867;43.6201246302153
38;JARDIN PIERRE ROUS;BAYARD;1576129.4504;2269859.2858;1.46526611148082;43.6186596520326
39;JARDIN DES HAUTS DE BONNEFOY;BAYARD;1575522.9431;2270339.7203;1.45764400722939;43.6228832270955
40;JARDIN LAPUJADE;BAYARD;1575080.5739;2269887.8087;1.45226713788795;43.6187431473637
41;JARDIN MICHELET;BAYARD;1575350.3231;2269502.668;1.45569624476737;43.6153218531195
42;JARDIN DE L'OBSERVATOIRE;PRESTO;1575867.9787;2269172.0314;1.46218309882185;43.6124318339141
43;JARDIN GASPARD;BAYARD;1575660.8914;2268832.4362;1.45969528828533;43.6093415782119
44;JARDIN DE SERVEYROLLES;BAYARD;1577115.189;2268664.8478;1.47774467934671;43.6080719828077
45;JARDIN ABADIE;BAYARD;1574566.9461;2269675.5568;1.4459534569248;43.6167477034259
46;JARDIN GIESPER;BAYARD;1573969.879;2269773.1053;1.43853536255846;43.6175259196147
47;JARDIN RUE DES ANGES;BAYARD;1573983.0719;2270291.9075;1.43857932528496;43.6221969308709
48;JARDIN CLAUDE NOUGARO;BAYARD;1573625.0583;2270217.8097;1.43416147178136;43.6214701372076
49;PLACETTE HOCHE;BAYARD;1573327.7431;2270403.3657;1.43043551796592;43.6230900535797
50;PARC JOB (côté rue Ticky Hogado);BAYARD;1571452.6895;2269753.0118;1.40736047241889;43.6169198008837
51;PARC JOB;WALLACE;1571393.5892;2269824.836;1.40661154765086;43.6175560708257
52;PLACE SUD DE BORDEROUGE (Aire de jeux);PRESTO;1574885.5777;2271026.4182;1.44959139031785;43.6289573728122
53;PARC DE LA MAOURINE;BAYARD;1574939.8844;2271230.6509;1.45021751919347;43.6308043199808
54;PARC DE LA MAOURINE (Aire de jeux);BAYARD;1575174.0113;2271619.8488;1.4530294303774;43.634345620852
55;PORT DE L'EMBOUCHURE;BAYARD;1572179.0844;2269084.5811;1.41651409900299;43.6110280683148
56;PORT DE L'EMBOUCHURE;BAYARD;1572209.9432;2269098.7911;1.41689298011556;43.611161181145
57;COULEE VERTE DES AMIDONNIERS;BAYARD;1572095.8488;2268806.2471;1.41554821937577;43.6085091637845
58;PLACE HERACLES;BAYARD;1573097.1183;2268718.2403;1.42796924301795;43.607886471069
59;JARDIN D'EMBARTHE;BAYARD;1573900.9556;2268875.2727;1.43788844303239;43.6094345948364
60;JARDIN GODOLIN;BAYARD;1574007.9443;2269321.8034;1.43911074563129;43.6134709238965
61;JARDIN PRIVAT (Musée des Augustins);BAYARD;1574557.9168;2267885.6134;1.4462517200097;43.6006380511931
62;ZONE VERTE DES ARGOULETS, CHEMIN CASSAIN;BAYARD;1577178.2254;2269691.5952;1.47829502095226;43.6173222693051
63;JARDIN PLACE PINEL;BAYARD;1576205.2121;2268049.8579;1.46661372709615;43.6023885486548
